"kato"	"ab"	"cd"	"ef"	"hij"	"k"	"name__kk"	"name__ru"	"nn"
"113447300"	"11"	"34"	"47"	"300"	"2"	"Родники а."	"с.Родники"	""
"113449000"	"11"	"34"	"49"	"000"	"2"	"Михайлов а.о."	"Михайловский с.о."	""
"113449100"	"11"	"34"	"49"	"100"	"2"	"Михайловка а."	"с.Михайловка"	""
"113449200"	"11"	"34"	"49"	"200"	"2"	"Николаевка а."	"с.Hиколаевка"	""
"113449300"	"11"	"34"	"49"	"300"	"2"	"Ольгинка а."	"с.Ольгинка"	""
"113451000"	"11"	"34"	"51"	"000"	"2"	"Бұлақсай а.о."	"Булаксайский с.о."	""
"113451100"	"11"	"34"	"51"	"100"	"2"	"Бұлақсай а."	"с.Булаксай"	""
"113451400"	"11"	"34"	"51"	"400"	"2"	"Ақжар а."	"с.Акжар"	""
"113451700"	"11"	"34"	"51"	"700"	"2"	"Қостомар а."	"с.Костомар"	""
"113453000"	"11"	"34"	"53"	"000"	"2"	"Сарыоба а.о."	"Сарабинский с.о."	""
"113453100"	"11"	"34"	"53"	"100"	"2"	"Сарыоба а."	"с.Сарыоба"	""
"113453500"	"11"	"34"	"53"	"500"	"2"	"Сарыоба ст."	"ст.Сарыоба"	""
"113600000"	"11"	"36"	"00"	"000"	"2"	"Астрахан ауданы"	"Астраханский район"	"05"
"113630000"	"11"	"36"	"30"	"000"	"2"	"Астрахан а.о."	"Астраханский с.о."	""
"113630100"	"11"	"36"	"30"	"100"	"2"	"Астраханка а."	"с.Астраханка"	""
"113630200"	"11"	"36"	"30"	"200"	"2"	"Жаңабірлік а."	"с.Жанабирлик"	""
"113630300"	"11"	"36"	"30"	"300"	"2"	"Таволжанка а."	"с.Таволжанка"	""
"113635000"	"11"	"36"	"35"	"000"	"2"	"Бесбидайық а.о."	"Бесбидаикский с.о."	""
"113635100"	"11"	"36"	"35"	"100"	"2"	"Бесбидайық а."	"с.Бесбидаик"	""
"113635200"	"11"	"36"	"35"	"200"	"2"	"Степное а."	"с.Степное"	""
"113637000"	"11"	"36"	"37"	"000"	"2"	"Есіл а.о."	"Есильский с.о."	""
"113637100"	"11"	"36"	"37"	"100"	"2"	"Зеленое а."	"с.Зеленое"	""
"113637200"	"11"	"36"	"37"	"200"	"2"	"Шілікті а"	"с.Шиликти"	""
"113639000"	"11"	"36"	"39"	"000"	"2"	"Жарсуат а.о."	"Жарсуатский с.о."	""
"113639100"	"11"	"36"	"39"	"100"	"2"	"Жарсуат а."	"с.Жарсуат"	""
"113639700"	"11"	"36"	"39"	"700"	"2"	"Ягодное а."	"с.Ягодное"	""
"113640000"	"11"	"36"	"40"	"000"	"2"	"Жалтыр а.о."	"Жалтырский с.о."	""
"113640100"	"11"	"36"	"40"	"100"	"2"	"Жалтыр а."	"с.Жалтыр"	""
"113640105"	"11"	"36"	"40"	"105"	"2"	"Астрахан ст."	"ст.Астраханка"	""
"113640300"	"11"	"36"	"40"	"300"	"2"	"Ақбейіт а."	"с.Акбеит"	""
"113641000"	"11"	"36"	"41"	"000"	"2"	"Каменка а.ә."	"с.а. Каменка"	""
"113641100"	"11"	"36"	"41"	"100"	"2"	"Каменка а."	"с.Каменка"	""
"113645000"	"11"	"36"	"45"	"000"	"2"	"Қызылжар а.о."	"Кызылжарский с.о."	""
"113645100"	"11"	"36"	"45"	"100"	"2"	"Жаңатұрмыс а."	"с.Жана-Турмыс"	""
"113645200"	"11"	"36"	"45"	"200"	"2"	"Акимовка а."	"с.Акимовка"	""
"113645400"	"11"	"36"	"45"	"400"	"2"	"Оксановка а."	"с.Оксановка"	""
"113649000"	"11"	"36"	"49"	"000"	"2"	"Николаев а.о."	"Hиколаевский с.о."	""
"113649100"	"11"	"36"	"49"	"100"	"2"	"Петровка а."	"с.Петровка"	""
"113649200"	"11"	"36"	"49"	"200"	"2"	"Жамбыл а."	"с.Жамбыл"	""
"113649500"	"11"	"36"	"49"	"500"	"2"	"Өрнек а."	"с.Орнек"	""
"113650000"	"11"	"36"	"50"	"000"	"2"	"Новочеркас а.о."	"Hовочеркасский с.о."	""
"113650100"	"11"	"36"	"50"	"100"	"2"	"Новочеркасское а."	"с.Hовочеркасское"	""
"113650400"	"11"	"36"	"50"	"400"	"2"	"Өндіріс а."	"с.Ондирис"	""
"113650600"	"11"	"36"	"50"	"600"	"2"	"Приишимка а."	"с.Приишимка"	""
"113651000"	"11"	"36"	"51"	"000"	"2"	"Острогор а.о."	"Острогорский с.о."	""
"113651100"	"11"	"36"	"51"	"100"	"2"	"Жаңа Колутон а."	"с.Hовый Колутон"	""
"113651200"	"11"	"36"	"51"	"200"	"2"	"Қаракөл а."	"с.Караколь"	""
"113653000"	"11"	"36"	"53"	"000"	"2"	"Первомай а.о."	"Первомайский с.о."	""
"113653100"	"11"	"36"	"53"	"100"	"2"	"Первомайка а."	"с.Первомайка"	""
"113653300"	"11"	"36"	"53"	"300"	"2"	"Лозовое а."	"с.Лозовое"	""
"113653400"	"11"	"36"	"53"	"400"	"2"	"Камышенка а."	"с.Камышенка"	""
"113655000"	"11"	"36"	"55"	"000"	"2"	"Ескі Колутон а.о."	"Староколутонский с.о."	""
"113655100"	"11"	"36"	"55"	"100"	"2"	"Ескі Колутон а."	"с.Старый Колутон"	""
"113655300"	"11"	"36"	"55"	"300"	"2"	"Зареченка а."	"с.Зареченка"	""
"113655400"	"11"	"36"	"55"	"400"	"2"	"Ковыленка а."	"с.Ковыленка"	""
"113655600"	"11"	"36"	"55"	"600"	"2"	"Қоскөл а."	"с.Косколь"	""
"113656000"	"11"	"36"	"56"	"000"	"2"	"Колутон а.о."	"Колутонский с.о."	""
"113656100"	"11"	"36"	"56"	"100"	"2"	"Колутон ст."	"ст.Колутон"	""
"113656200"	"11"	"36"	"56"	"200"	"2"	"Бірлік а."	"с.Бирлик"	""
"113657000"	"11"	"36"	"57"	"000"	"2"	"Ұзынкөл а.о."	"Узункольский с.о."	""
"113657100"	"11"	"36"	"57"	"100"	"2"	"Ұзынкөл а."	"с.Узунколь"	""
"113657107"	"11"	"36"	"57"	"107"	"2"	"Қайнар а."	"с.Кайнарское"	""
"113657109"	"11"	"36"	"57"	"109"	"2"	"Луговое а."	"с.Луговое"	""
"113657111"	"11"	"36"	"57"	"111"	"2"	"Қаратүбек а."	"с.Каратубек"	""
"113657200"	"11"	"36"	"57"	"200"	"2"	"Алғабас а."	"с.Алгабас"	""
"113657300"	"11"	"36"	"57"	"300"	"2"	"Бұлақты а."	"с.Булакты"	""
"113800000"	"11"	"38"	"00"	"000"	"4"	"Атбасар ауданы"	"Атбасарский район"	"06"
"113820100"	"11"	"38"	"20"	"100"	"1"	"Атбасар қ."	"г.Атбасар"	""
"113833000"	"11"	"38"	"33"	"000"	"2"	"Шұңқыркөл а.о."	"Шункыркольский с.о."	""
"113833100"	"11"	"38"	"33"	"100"	"2"	"Новомариновка а."	"с.Hовомариновка"	""
"113833102.0"	"11"	"38"	"33"	"102.0"	"2"	"Шұңқыркөл а."	"с.Шункырколь"	""
"113835000"	"11"	"38"	"35"	"000"	"2"	"Борисовка а.ә."	"с.а. Борисовка"	""
"113835100"	"11"	"38"	"35"	"100"	"2"	"Борисовка а."	"с.Борисовка"	""
"113841000"	"11"	"38"	"41"	"000"	"2"	"Макеев а.о."	"Макеевский с.о."	""
"113841100"	"11"	"38"	"41"	"100"	"2"	"Шуйское а."	"с.Шуйское"	""
"113841200"	"11"	"38"	"41"	"200"	"2"	"Макеевка а."	"с.Макеевка"	""
"113841300"	"11"	"38"	"41"	"300"	"2"	"Третьяковка а."	"с.Третьяковка"	""
"113843000"	"11"	"38"	"43"	"000"	"2"	"Маринов а.о."	"Мариновский с.о."	""
"113843100"	"11"	"38"	"43"	"100"	"2"	"Мариновка а."	"с.Мариновка"	""
"113843300"	"11"	"38"	"43"	"300"	"2"	"Бейіс хазірет а."	"с.Бейса хазирета"	""
"113843400"	"11"	"38"	"43"	"400"	"2"	"Адыр ст."	"ст.Адыр"	""
"113845000"	"11"	"38"	"45"	"000"	"2"	"Бастау а.о."	"с.о. Бастау"	""
"113845100"	"11"	"38"	"45"	"100"	"2"	"Бастау а."	"с.Бастау"	""
"113849000"	"11"	"38"	"49"	"000"	"2"	"Новосельское а.ә."	"с.а. Новосельское"	""
"113849100"	"11"	"38"	"49"	"100"	"2"	"Новосельское а."	"с.Hовосельское"	""
"113849107"	"11"	"38"	"49"	"107"	"2"	"Пролетарка а."	"с.Пролетарка"	""
"113851000"	"11"	"38"	"51"	"000"	"2"	"Ақан Құрманов а.о."	"с.о.Акана Курманова"	""
"113851100"	"11"	"38"	"51"	"100"	"2"	"Ақан Құрманов а."	"с.Акана Курманова"	""
"113851200"	"11"	"38"	"51"	"200"	"2"	"Қаракөл а."	"с.Караколь"	""
"113851400"	"11"	"38"	"51"	"400"	"2"	"Қосбармақ а."	"с.Косбармак"	""
"113852000"	"11"	"38"	"52"	"000"	"2"	"Покров а.о."	"Покровский с.о."	""
"113852100"	"11"	"38"	"52"	"100"	"2"	"Покровка а."	"с.Покровка"	""
"113852200"	"11"	"38"	"52"	"200"	"2"	"Садовое а."	"с.Садовое"	""
"113852205"	"11"	"38"	"52"	"205"	"2"	"Пригородное а."	"с.Пригородное"	""
"113853000"	"11"	"38"	"53"	"000"	"2"	"Полтава а.о."	"Полтавский с.о."	""
"113853100"	"11"	"38"	"53"	"100"	"2"	"Полтавка а."	"с.Полтавка"	""
"113853105"	"11"	"38"	"53"	"105"	"2"	"КФК Сыздыкова"	"КФК Сыздыкова"	""
"113853300"	"11"	"38"	"53"	"300"	"2"	"Титовка а."	"с.Титовка"	""
"113855000"	"11"	"38"	"55"	"000"	"2"	"Сепе а.ә."	"с.а. Сепе"	""
"113855100"	"11"	"38"	"55"	"100"	"2"	"Сепе а."	"с.Сепе"	""
"113857000"	"11"	"38"	"57"	"000"	"2"	"Сергеев а.о."	"Сергеевский с.о."	""
"113857100"	"11"	"38"	"57"	"100"	"2"	"Сергеевка а."	"с.Сергеевка"	""
"113857200"	"11"	"38"	"57"	"200"	"2"	"Ащыкөл а."	"с.Ащиколь"	""
"113857400"	"11"	"38"	"57"	"400"	"2"	"Самарка а."	"с.Самарка"	""
"113861000"	"11"	"38"	"61"	"000"	"2"	"Сочинское а.ә."	"с.а. Сочинское"	""
"113861100"	"11"	"38"	"61"	"100"	"2"	"Сочинское а."	"с.Сочинское"	""
"113863000"	"11"	"38"	"63"	"000"	"2"	"Тельман а.о."	"Тельманский с.о."	""
"113863100"	"11"	"38"	"63"	"100"	"2"	"Тельман а."	"с.Тельмана"	""
"113863109"	"11"	"38"	"63"	"109"	"2"	"рзд.87"	"рзд.87"	""
"113863200"	"11"	"38"	"63"	"200"	"2"	"Поповка а."	"с.Поповка"	""
"113863202.0"	"11"	"38"	"63"	"202.0"	"2"	"Сәдібек а."	"с.Садубек"	""
"113863204.0"	"11"	"38"	"63"	"204.0"	"2"	"Қаражар а."	"с.Каражар"	""
"113865000"	"11"	"38"	"65"	"000"	"2"	"Есенгелді а.ә."	"с.а. Есенгельды"	""
"113865100"	"11"	"38"	"65"	"100"	"2"	"Есенкелді а."	"с.Есенгельды"	""
"113867000"	"11"	"38"	"67"	"000"	"2"	"Ярослав а.о."	"Ярославский с.о."	""
"113867100"	"11"	"38"	"67"	"100"	"2"	"Тимашевка а."	"с.Тимашевка"	""
"113867300"	"11"	"38"	"67"	"300"	"2"	"Калиновка а."	"с.Калиновка"	""
"113867400"	"11"	"38"	"67"	"400"	"2"	"Магдалиновка а."	"с.Магдалиновка"	""
"113867500"	"11"	"38"	"67"	"500"	"2"	"Родионовка а."	"с.Родионовка"	""
"113867503"	"11"	"38"	"67"	"503"	"2"	"Ждановка а."	"с.Ждановка"	""
"113867700"	"11"	"38"	"67"	"700"	"2"	"Хрящевка а."	"с.Хрящевка"	""
"114000000"	"11"	"40"	"00"	"000"	"4"	"Бұланды ауданы"	"Буландынский район"	"08"
"114020100"	"11"	"40"	"20"	"100"	"1"	"Макинск қ."	"г.Макинск"	""
"114031000"	"11"	"40"	"31"	"000"	"2"	"Вознесен а.о."	"Вознесенский с.о."	""
"114031100"	"11"	"40"	"31"	"100"	"2"	"Вознесенка а."	"с.Вознесенка"	""
"114031200"	"11"	"40"	"31"	"200"	"2"	"Аққайың а."	"с.Аккайын"	""
"114031500"	"11"	"40"	"31"	"500"	"2"	"Тастыөзек а."	"с.Тастыозек"	""
"114035000"	"11"	"40"	"35"	"000"	"2"	"Данилов а.о."	"Даниловский с.о."	""
"114035100"	"11"	"40"	"35"	"100"	"2"	"Алтынды а."	"с. Алтынды"	""
"114035200"	"11"	"40"	"35"	"200"	"2"	"Алакөл а."	"с. Алаколь"	""
"114035300"	"11"	"40"	"35"	"300"	"2"	"Боярка а."	"с.Боярка"	""
"114035400"	"11"	"40"	"35"	"400"	"2"	"Елтай а."	"с.Ельтай"	""
"114035500"	"11"	"40"	"35"	"500"	"2"	"Жаңаталап а."	"с.Жанаталап"	""
"114037000"	"11"	"40"	"37"	"000"	"2"	"Еркөл а.о."	"Ергольский с.о."	""
"114037100"	"11"	"40"	"37"	"100"	"2"	"Тоқтамыс а."	"с.Токтамыс"	""
"114037200"	"11"	"40"	"37"	"200"	"2"	"Гордеевка а."	"с.Гордеевка"	""
"114037300"	"11"	"40"	"37"	"300"	"2"	"Иванковка а."	"с.Иванковка"	""
"114037400"	"11"	"40"	"37"	"400"	"2"	"Новокиевка а."	"с.Hовокиевка"	""
"114039000"	"11"	"40"	"39"	"000"	"2"	"Журавлев а.о."	"Журавлевский с.о."	""
"114039100"	"11"	"40"	"39"	"100"	"2"	"Журавлевка а."	"с.Журавлевка"	""
"114039200"	"11"	"40"	"39"	"200"	"2"	"Воробьевка а."	"с.Воробьевка"	""
"114039400"	"11"	"40"	"39"	"400"	"2"	"Новодонецк а."	"с.Hоводонецк"	""
"114039600"	"11"	"40"	"39"	"600"	"2"	"Ярославка а"	"с.Ярославка"	""
"114041000"	"11"	"40"	"41"	"000"	"2"	"Капитонов а.о."	"Капитоновский с.о."	""
"114041100"	"11"	"40"	"41"	"100"	"2"	"Капитоновка а."	"с.Капитоновка"	""
"114041200"	"11"	"40"	"41"	"200"	"2"	"Балуан Шолақ атын.а."	"с.им.Балуана Шолака"	""
"114041400"	"11"	"40"	"41"	"400"	"2"	"Пушкино а."	"с.Пушкино"	""
"114043000"	"11"	"40"	"43"	"000"	"2"	"Карамышев а.о."	"Карамышевский с.о."	""
"114043100"	"11"	"40"	"43"	"100"	"2"	"Шұбарағаш а."	"с.Шубарагаш"	""
"114043200"	"11"	"40"	"43"	"200"	"2"	"Мат а."	"с.Мат"	""
"114043400"	"11"	"40"	"43"	"400"	"2"	"Отрадное а."	"с.Отрадное"	""
"114043405"	"11"	"40"	"43"	"405"	"2"	"Роза Люксембург атын.а."	"с.им.Розы Люксембург"	""
"114043700"	"11"	"40"	"43"	"700"	"2"	"Суворовка а."	"с.Суворовка"	""
"114045000"	"11"	"40"	"45"	"000"	"2"	"Никольский а.о."	"Hикольский с.о."	""
"114045100"	"11"	"40"	"45"	"100"	"2"	"Никольское а."	"с.Hикольское"	""
"114045200"	"11"	"40"	"45"	"200"	"2"	"Ұлытоған а."	"с.Улытоган"	""
"114047000"	"11"	"40"	"47"	"000"	"2"	"Новобратское а.о."	"Hовобратский с.о."	""
"114047100"	"11"	"40"	"47"	"100"	"2"	"Новобратское а."	"с.Hовобратское"	""
"114047200"	"11"	"40"	"47"	"200"	"2"	"Буденновка а."	"с.Буденновка"	""
"114047300"	"11"	"40"	"47"	"300"	"2"	"Добровольное а."	"с.Добровольное"	""
"114047400"	"11"	"40"	"47"	"400"	"2"	"Красносельское а."	"с.Красносельское"	""
"114051000"	"11"	"40"	"51"	"000"	"2"	"Айнакөл а.о."	"Айнакольский с.о."	""
"114051100"	"11"	"40"	"51"	"100"	"2"	"Айнакөл а."	"с.Айнаколь"	""
"114051500"	"11"	"40"	"51"	"500"	"2"	"Острогорское а."	"с.Острогорское"	""
"114053000"	"11"	"40"	"53"	"000"	"2"	"Амангелді а.о."	"Амангельдинский с.о."	""
"114053100"	"11"	"40"	"53"	"100"	"2"	"Партизанка а."	"с.Партизанка"	""
"114053300"	"11"	"40"	"53"	"300"	"2"	"Ортақшыл а."	"с.Ортакшыл"	""
"114055000"	"11"	"40"	"55"	"000"	"2"	"Қараөзек а.о."	"Караузекский с.о."	""
"114055100"	"11"	"40"	"55"	"100"	"2"	"Қараөзек а."	"с.Караозек"	""
"114055300"	"11"	"40"	"55"	"300"	"2"	"Еруслановка а."	"с.Еруслановка"	""
"114055600"	"11"	"40"	"55"	"600"	"2"	"Купчановка а."	"с.Купчановка"	""
"114055700"	"11"	"40"	"55"	"700"	"2"	"Байсуат а."	"с.Байсуат"	""
"114400000"	"11"	"44"	"00"	"000"	"2"	"Егіндікөл ауданы"	"Егиндыкольский район"	"09"
"114430000"	"11"	"44"	"30"	"000"	"2"	"Егіндікөл а.о."	"Егиндыкольский с.о."	""
"114430100"	"11"	"44"	"30"	"100"	"2"	"Егіндікөл а."	"с.Егиндыколь"	""
"114433000"	"11"	"44"	"33"	"000"	"2"	"Абай а.о."	"Абайский с.о."	""
"114433100"	"11"	"44"	"33"	"100"	"2"	"Абай а."	"с.Абай"	""
"114435000"	"11"	"44"	"35"	"000"	"2"	"Алакөл а.о."	"Алакольский с.о."	""
"114435100"	"11"	"44"	"35"	"100"	"2"	"Полтавское а."	"с.Полтавское"	""
